;Concurrent sum;
262144;

;1 Tasks;;;;;;;;16 Tasks;;;;;;;;256 Tasks;;;;;;;;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;Threads with barriers;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;Threads with barriers;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;Threads with barriers;;;;;
;;270;274;440;351;420;;;;284;227;280;285;376;;;;1360;202;301;269;552;;;;;
;;277;294;416;380;341;;;;279;206;281;256;368;;;;1295;201;302;289;574;;;;;
;;273;277;378;416;401;;;;249;197;286;241;314;;;;1101;213;286;268;465;;;;;
;;259;298;493;430;337;;;;257;198;357;218;369;;;;1182;217;315;216;547;;;;;
;;261;281;460;409;410;;;;249;198;287;230;400;;;;760;201;328;248;491;;;;;
;;265;338;363;366;339;;;;262;199;291;245;359;;;;768;200;308;259;599;;;;;
;;267;268;435;375;406;;;;247;208;363;227;375;;;;778;197;322;222;581;;;;;
;;273;280;355;412;352;;;;256;246;373;234;352;;;;972;239;311;222;540;;;;;
;;261;301;494;330;437;;;;246;202;281;231;391;;;;1057;207;332;220;565;;;;;
;;258;290;441;410;378;;;;247;192;261;223;403;;;;890;201;313;235;580;;;;;
;;264;278;460;312;436;;;;272;203;277;357;324;;;;740;205;307;262;638;;;;;
;;314;270;424;333;373;;;;263;236;258;256;435;;;;720;200;280;254;479;;;;;
;;277;269;408;323;446;;;;252;198;300;235;446;;;;739;197;302;239;537;;;;;
;;259;282;451;413;392;;;;249;196;283;218;430;;;;721;203;308;237;471;;;;;
;;273;274;344;327;347;;;;243;199;298;232;320;;;;726;198;313;216;563;;;;;
;;270;274;402;328;382;;;;244;196;282;203;289;;;;718;198;307;249;600;;;;;
;;283;267;367;351;379;;;;243;206;285;242;388;;;;710;198;303;253;553;;;;;
;;283;288;400;371;335;;;;266;194;297;233;324;;;;712;217;308;229;545;;;;;
;;269;295;383;355;443;;;;251;199;283;234;321;;;;730;201;309;217;543;;;;;
;;257;265;445;313;336;;;;238;195;295;217;370;;;;734;201;313;227;475;;;;;
;;269;284;451;344;437;;;;279;201;350;344;321;;;;803;204;297;265;947;;;;;
;;279;271;398;355;403;;;;278;195;281;330;312;;;;785;196;304;264;895;;;;;
;;289;267;422;368;416;;;;259;195;285;251;370;;;;795;199;294;296;532;;;;;
;;266;271;437;412;382;;;;250;199;289;221;373;;;;763;203;302;266;537;;;;;
;;265;273;345;416;348;;;;256;195;291;238;385;;;;817;198;286;286;466;;;;;
;;296;270;384;416;335;;;;246;212;265;235;305;;;;760;209;307;256;539;;;;;
;;470;318;361;356;337;;;;252;210;271;249;400;;;;781;197;293;214;558;;;;;
;;297;265;450;350;397;;;;242;195;282;210;326;;;;755;212;321;271;543;;;;;
;;363;287;462;360;446;;;;243;210;268;224;341;;;;751;200;283;233;544;;;;;
;;454;263;343;484;339;;;;268;193;259;198;296;;;;746;211;301;259;536;;;;;
;
;
;
1048576;

;1 Tasks;;;;;;;;16 Tasks;;;;;;;;256 Tasks;;;;;;;;
;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;Threads with barriers;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;Threads with barriers;;;;Threads;ThreadPool;HaMeR framework;Kotlin coroutines;Threads with barriers;;;;;
;;1055;1093;1145;1197;1427;;;;831;777;849;861;1535;;;;1477;797;881;880;1731;;;;;
;;1034;1650;1157;1175;1748;;;;823;771;837;815;1516;;;;1511;797;877;861;1743;;;;;
;;1054;1094;1147;1478;1739;;;;812;874;848;881;1546;;;;1442;797;880;821;1707;;;;;
;;1043;1090;1168;1310;1746;;;;859;944;839;806;1507;;;;1477;831;862;829;1758;;;;;
;;1042;1103;1393;1313;1753;;;;837;805;850;789;1595;;;;1449;792;986;801;1717;;;;;
;;1039;1108;1136;1231;1773;;;;826;797;836;803;1495;;;;1556;802;918;823;1701;;;;;
;;1081;1098;1134;1268;1778;;;;852;833;852;792;1486;;;;1483;803;1078;796;1764;;;;;
;;1044;1094;1530;1444;1796;;;;841;857;856;839;1477;;;;2176;798;1006;812;1777;;;;;
;;1040;1097;1150;1312;1771;;;;830;851;852;802;1486;;;;1683;797;992;851;1735;;;;;
;;1062;1094;1165;1243;1778;;;;876;794;893;804;1500;;;;1777;792;956;810;1706;;;;;
;;1080;1106;1246;1205;1739;;;;833;795;844;829;1695;;;;1455;805;871;805;1754;;;;;
;;1032;1094;1153;1207;1745;;;;864;799;851;816;1503;;;;1478;776;888;795;1733;;;;;
;;1052;1101;1172;1209;1745;;;;824;806;836;805;1549;;;;1447;894;1013;828;1687;;;;;
;;1049;1097;1144;1197;1747;;;;880;804;831;817;1488;;;;1671;765;911;839;1734;;;;;
;;1041;1102;1136;1197;1758;;;;902;798;844;820;1516;;;;1733;812;896;793;1703;;;;;
;;1070;1376;1140;1377;1439;;;;835;799;1034;813;1522;;;;1502;863;990;856;1722;;;;;
;;1038;1130;1131;1308;1753;;;;819;807;890;803;1495;;;;1339;785;945;824;1753;;;;;
;;1079;1086;1146;1379;1761;;;;821;801;1063;827;1493;;;;1791;782;906;858;1697;;;;;
;;1062;1106;1159;1215;1736;;;;876;812;855;818;1535;;;;2587;782;880;832;1698;;;;;
;;1062;1093;1140;1233;1743;;;;819;793;843;835;1500;;;;1772;829;930;790;1746;;;;;
;;1039;1091;1152;1199;1738;;;;809;794;852;794;1494;;;;1977;795;977;809;1803;;;;;
;;1044;1088;1152;1260;1755;;;;871;796;861;806;1492;;;;1729;822;869;807;1880;;;;;
;;1036;1137;1220;1275;1746;;;;825;792;927;822;1494;;;;1714;803;946;871;1720;;;;;
;;1089;1098;1132;1308;1736;;;;803;810;886;809;1480;;;;1730;798;905;808;1779;;;;;
;;1095;1111;1148;1246;1761;;;;825;797;854;781;1492;;;;1786;802;958;815;1717;;;;;
;;1041;1111;1167;1533;1751;;;;817;793;850;812;1729;;;;1830;782;902;799;1780;;;;;
;;1051;1186;1136;1393;1752;;;;850;816;858;814;1805;;;;1436;859;985;826;1712;;;;;
;;1062;1127;1149;1246;1752;;;;827;800;845;844;1726;;;;1505;832;941;804;1717;;;;;
;;1035;1082;1152;1315;1762;;;;837;786;858;808;1486;;;;1496;832;892;810;1888;;;;;
;;1352;1083;1174;1223;1755;;;;815;795;869;829;1500;;;;1465;803;906;823;1744;;;;;
;
;
;
